Ascending
Array Size,10000,20000,40000,80000,160000,320000,640000,1280000,2560000,5120000,10240000,20480000
Heapsort Bottom-Up,0,1,2,6,13,28,62,135,279,649,1212,2512
Insertionsort,0,0,0
Insertionsort with Guard,0,0,0
Insertionsort with Guard (Cache optimized),0,0,0
Mergesort Bottom-Up,0,0,0,1,3,7,16,37,77,156,321,673
Mergesort Natural,0,0,0,0,0,0,1,3,7,14,28,56
Quicksort,0,0,0,1,3,7,14,29,63,131,275,550
Quicksort Hybrid Else,0,0,0,1,2,5,11,24,54,121,230,489
Quicksort Hybrid IF,0,0,0,1,2,5,11,24,53,113,233,491
Descending
Array Size,10000,20000,40000,80000,160000,320000,640000,1280000,2560000,5120000,10240000,20480000
Heapsort Bottom-Up,0,1,2,6,12,27,63,143,311,660,1394,2824
Insertionsort,46,185,741
Insertionsort with Guard,39,159,679
Insertionsort with Guard (Cache optimized),39,158,647
Mergesort Bottom-Up,0,0,0,2,4,10,21,46,100,233,441,899
Mergesort Natural,0,0,1,3,6,14,32,71,145,309,680,1399
Quicksort,0,0,1,1,3,7,16,32,69,149,311,622
Quicksort Hybrid Else,0,0,0,1,3,6,12,26,65,132,275,520
Quicksort Hybrid IF,0,0,0,1,2,6,12,29,65,135,305,560
Random
Array Size,10000,20000,40000,80000,160000,320000,640000,1280000,2560000,5120000,10240000,20480000
Heapsort Bottom-Up,0,1,3,7,17,41,122,399,1033,2705,6412,14781
Insertionsort,23,92,370
Insertionsort with Guard,19,79,322
Insertionsort with Guard (Cache optimized),19,77,317
Mergesort Bottom-Up,0,1,3,7,15,33,72,158,342,701,1492,2992
Mergesort Natural,0,1,3,7,16,35,76,171,354,716,1547,3082
Quicksort,0,1,3,7,15,32,68,135,292,591,1358,2631
Quicksort Hybrid Else,0,1,2,5,13,27,59,121,259,574,1208,2377
Quicksort Hybrid IF,0,1,2,6,13,27,57,120,274,583,1159,2462
